Urls,Titulos,Descripcion,Valoraciones,Precio,Estrellas,Fecha subida,Direccion,Num veces visto,Me gustas,Estado,Envio,Reservado,Url Usuario,Imagenes
https://es.wallapop.com/item/martillo-percutor-hippo-y-lijadora-dexter-886086003,martillo-percutor-hippo-y-lijadora-dexter,"Tiene 3600w de potencia, funciona perfectamente y tiene mucha fuerza válido para trabajos duros la lijadora es de 200W el precio es para las dos cosas si no quieren el par se negocia precio de cada uno",13,60 EUR,5.0,27-mar-2023,A Coruña,30,0,Bueno,SI,NO,https://es.wallapop.com/app/user/titom-427529488-v6g4g5rr556e/published,"['https://cdn.wallapop.com/images/10420/en/jw/__/c10420p886086003/i3208543981.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/en/jw/__/c10420p886086003/i3208543993.jpg?pictureSize=W640']"
https://es.wallapop.com/item/lijadora-886354203,lijadora,"Lijadora orbital maquita 150mm, hace falta cambiar el belcro, negociable.",3,100 EUR,5.0,26-mar-2023,Graso,7,0,Bueno,NO,NO,https://es.wallapop.com/app/user/josey-399123107-p61oooxwvdj5/published,"['https://cdn.wallapop.com/images/10420/en/pn/__/c10420p886354203/i3209734429.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/en/pn/__/c10420p886354203/i3209734587.jpg?pictureSize=W640']"
https://es.wallapop.com/item/lijadora-banda-jellas-884686693,lijadora-banda-jellas,"Vendo lijadora de banda Jellas, con 10 lijas nuevas. Funciona perfectamente.",37,30 EUR,5.0,24-mar-2023,Salceda de Caselas,58,3,Bueno,SI,NO,https://es.wallapop.com/app/user/angela-148587851-9nz0k3q19d6o/published,"['https://cdn.wallapop.com/images/10420/em/pw/__/c10420p884686693/i3199943971.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/em/pw/__/c10420p884686693/i3199943981.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/em/pw/__/c10420p884686693/i3199943987.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/em/pw/__/c10420p884686693/i3199943994.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/em/pw/__/c10420p884686693/i3199944004.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/em/pw/__/c10420p884686693/i3199944021.jpg?pictureSize=W640']"
