Urls,Titulos,Descripcion,Valoraciones,Precio,Estrellas,Fecha subida,Direccion,Num veces visto,Me gustas,Estado,Envio,Reservado,Url Usuario,Imagenes
https://es.wallapop.com/item/joyero-vintage-de-ceramica-885778085,joyero-vintage-de-ceramica,,,,,,,,,NO,NO,NO,https://es.wallapop.com/app/user/nan-nan/published,
https://es.wallapop.com/item/joyero-vintage-885564383,joyero-vintage,Joyero vintage con varios departamentos.,97,5 EUR,5.0,23-mar-2023,Vall d'Alba,26,0,Bueno,SI,NO,https://es.wallapop.com/app/user/pilarf-345031569-3zl4y0vq9njx/published,"['https://cdn.wallapop.com/images/10420/en/8p/__/c10420p885564383/i3205263491.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/en/8p/__/c10420p885564383/i3205263514.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/en/8p/__/c10420p885564383/i3205263548.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/en/8p/__/c10420p885564383/i3205263587.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/em/8d/__/c10420p883868430/i3195319391.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/em/8d/__/c10420p883868430/i3195321864.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/em/8d/__/c10420p883868430/i3195319443.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/em/8d/__/c10420p883868430/i3195319458.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/em/8d/__/c10420p883868430/i3195319480.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/em/8d/__/c10420p883868430/i3195321897.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/em/8d/__/c10420p883868430/i3195321940.jpg?pictureSize=W640']"
https://es.wallapop.com/item/joyero-de-porcelana-vintage-884866860,joyero-de-porcelana-vintage,,,,,,,,,NO,NO,NO,https://es.wallapop.com/app/user/nan-nan/published,
https://es.wallapop.com/item/joyero-vintage-883868430,joyero-vintage,"Hecho a mano. Terciopelo, bordado con hilo metálico, cuentas de cristal. 13,5cm × 8cm × 6,5cm",38,6 EUR,5.0,17-mar-2023,Carril,39,3,Bueno,SI,NO,https://es.wallapop.com/app/user/elenas-377541046-8z8qy2op4oz3/published,"['https://cdn.wallapop.com/images/10420/en/8p/__/c10420p885564383/i3205263491.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/en/8p/__/c10420p885564383/i3205263514.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/en/8p/__/c10420p885564383/i3205263548.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/en/8p/__/c10420p885564383/i3205263587.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/em/8d/__/c10420p883868430/i3195319391.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/em/8d/__/c10420p883868430/i3195321864.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/em/8d/__/c10420p883868430/i3195319443.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/em/8d/__/c10420p883868430/i3195319458.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/em/8d/__/c10420p883868430/i3195319480.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/em/8d/__/c10420p883868430/i3195321897.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/em/8d/__/c10420p883868430/i3195321940.jpg?pictureSize=W640']"
https://es.wallapop.com/item/joyero-vintage-de-laton-con-cremallera-884022200,joyero-vintage-de-laton-con-cremallera,,,,,,,,,NO,NO,NO,https://es.wallapop.com/app/user/nan-nan/published,
