Urls,Precio Venta,Fecha,Gastos,Descripción gastos
https://es.wallapop.com/item/plancha-a-gas-de-hosteleria-887226550,240,2023-03-25,,
https://es.wallapop.com/item/conjunto-bebe-12-meses-mayoral-887236183,85,2023-03-26,12.0,Gasolina y peaje
https://es.wallapop.com/item/estanteria-886925821,90,2023-03-28,,
