Urls,Titulos,Categoria,Descripcion,Valoraciones,Precio,Estrellas,Fecha subida,Direccion,Num veces visto,Me gustas,Estado,Envio,Reservado,Url Usuario,Imagenes
https://es.wallapop.com/item/motocultor-883595408,motocultor,Hogar y jardin,Motocultor con poco uso con arado,0.0,900.0,0.0,16-mar-2023,Vigo,7.0,0.0,NO,NO,NO,https://es.wallapop.com/app/user/lidiam-66410008-lqzmoo323x6v/published,"['https://cdn.wallapop.com/images/10420/em/2i/__/c10420p883595408/i3193723635.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/em/2i/__/c10420p883595408/i3193723672.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/em/2i/__/c10420p883595408/i3193723761.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/em/2i/__/c10420p883595408/i3193723841.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/em/2i/__/c10420p883595408/i3193723947.jpg?pictureSize=W640']"
https://es.wallapop.com/item/cuadro-torre-eiffel-883595113,cuadro-torre-eiffel,Hogar y jardin,"Cuadro de mesa de la torre Eiffel de París. Palabras: Cuadro, decoración, casa, hogar, mesa, mobiliario, adornos, jardín, paris, torre eiffel",99.0,10.0,5.0,16-mar-2023,Vigo,0.0,0.0,Como nuevo,SI,NO,https://es.wallapop.com/app/user/rubens-356041133-xzoln4vge2z9/published,['https://cdn.wallapop.com/images/10420/em/2i/__/c10420p883595113/i3193722449.jpg?pictureSize=W640']
https://es.wallapop.com/item/2-camas-de-90-883594610,2-camas-de-90,Hogar y jardin,Vendo dos camas de 90. se pueden convertir en litera.,0.0,60.0,0.0,16-mar-2023,Touton,0.0,0.0,NO,NO,NO,https://es.wallapop.com/app/user/gabrielaf-29210312-v9jd59xdnn6k/published,NO
https://es.wallapop.com/item/funda-nordica-zara-home-cuna-883593528,funda-nordica-zara-home-cuna,Hogar y jardin,Preciosas fundas nórdicas para cuna de zara home.como nuevas apenas se han usado.10e cada una,171.0,10.0,5.0,16-mar-2023,Ribeira,2.0,0.0,Nuevo,SI,NO,https://es.wallapop.com/app/user/luisav-57757091-evjr4edy5x6k/published,['https://cdn.wallapop.com/images/10420/em/2h/__/c10420p883593528/i3193716443.jpg?pictureSize=W640']
https://es.wallapop.com/item/acebuche-883589873,acebuche,Hogar y jardin,16cm de ancho por 14 de alto.La foto es actual.,1.0,100.0,5.0,16-mar-2023,Campelo,3.0,0.0,NO,SI,NO,https://es.wallapop.com/app/user/jorgei-44150122-08z8kpq39rz3/published,"['https://cdn.wallapop.com/images/10420/em/2e/__/c10420p883589873/i3193698494.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/em/2e/__/c10420p883589873/i3193698536.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/em/2e/__/c10420p883589873/i3193698558.jpg?pictureSize=W640']"
https://es.wallapop.com/item/platos-883588827,platos,Hogar y jardin,10 Uds,0.0,20.0,0.0,16-mar-2023,Ourense,0.0,0.0,Como nuevo,SI,NO,https://es.wallapop.com/app/user/albaa-430791160-9jd7w7m189jk/published,['https://cdn.wallapop.com/images/10420/em/2d/__/c10420p883588827/i3193692142.jpg?pictureSize=W640']
https://es.wallapop.com/item/moldes-bombas-de-bano-diy-883588168,moldes-bombas-de-bano-diy,Hogar y jardin,"4 moldes. Medidas diámetro: 4,5 cm, 5,5 cm, 6,5 cm, 8,5 cm.",3.0,5.0,5.0,16-mar-2023,Caldas de Reis,0.0,0.0,Nuevo,SI,NO,https://es.wallapop.com/app/user/chusp-169780363-436e287mmy6d/published,"['https://cdn.wallapop.com/images/10420/em/2c/__/c10420p883588168/i3193687706.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/em/2c/__/c10420p883588168/i3193687742.jpg?pictureSize=W640']"
https://es.wallapop.com/item/mueble-vintage-883586320,mueble-vintage,Hogar y jardin,"Mueble vintage de madera, tiene ruedas, le hace falta una mano de pintura, está desgastado por el uso. Alto 86'5cm Fondo 80cm Ancho 79'5cm",2.0,40.0,5.0,16-mar-2023,Marín,1.0,0.0,Aceptable,NO,NO,https://es.wallapop.com/app/user/daviniaf-175501978-qnzx1d3m1mj2/published,"['https://cdn.wallapop.com/images/10420/em/2b/__/c10420p883586320/i3193674577.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/em/2b/__/c10420p883586320/i3193674690.jpg?pictureSize=W640']"
https://es.wallapop.com/item/ceramica-san-claudio-883584361,ceramica-san-claudio,Hogar y jardin,Cerámica san claudio en buen estado.,3.0,5.0,5.0,16-mar-2023,Negreira,2.0,0.0,Bueno,SI,NO,https://es.wallapop.com/app/user/oscarb-419662107-p61oy3n1v7j5/published,"['https://cdn.wallapop.com/images/10420/em/2a/__/c10420p883584361/i3193663543.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/em/2a/__/c10420p883584361/i3193663602.jpg?pictureSize=W640', 'https://cdn.wallapop.com/images/10420/em/2a/__/c10420p883584361/i3193663629.jpg?pictureSize=W640']"
https://es.wallapop.com/item/puertas-armario-ocasion-883584327,puertas-armario-ocasion,Hogar y jardin,Puerta de armario:1'68×42cm con altillo de:53'5×42cm Tiradores y bisagras incluidos Macizadas y rechapadas en sapely,0.0,150.0,0.0,16-mar-2023,Ourense,2.0,0.0,Bueno,NO,NO,https://es.wallapop.com/app/user/carlota-338995076-w6732n24dwjx/published,['https://cdn.wallapop.com/images/10420/em/2a/__/c10420p883584327/i3193663411.jpg?pictureSize=W640']
